,Confluence,DMax,Date,Delay,ReplicateId,Time,WellId,DrugConcentration
128,38.96677,100,8/16/2019 5:51:00 PM,2,1,77.7,D4,0.0
129,44.715135000000004,100,8/16/2019 5:51:00 PM,4,1,77.7,D5,100.0
130,47.33734,100,8/16/2019 5:51:00 PM,7,1,77.7,D6,100.0
131,39.033435,100,8/16/2019 5:51:00 PM,100,1,77.7,D7,100.0
132,77.76264499999999,100,8/16/2019 5:51:00 PM,0,2,77.7,E2,0.0
133,53.859515,100,8/16/2019 5:51:00 PM,1,2,77.7,E3,0.0
134,38.849695,100,8/16/2019 5:51:00 PM,2,2,77.7,E4,0.0
135,37.28255,100,8/16/2019 5:51:00 PM,4,2,77.7,E5,100.0
136,47.139015,100,8/16/2019 5:51:00 PM,7,2,77.7,E6,100.0
137,38.164775,100,8/16/2019 5:51:00 PM,100,2,77.7,E7,100.0
138,73.975505,100,8/16/2019 5:51:00 PM,0,3,77.7,F2,0.0
139,30.169939999999997,100,8/16/2019 5:51:00 PM,1,3,77.7,F3,0.0
140,25.72044,100,8/16/2019 5:51:00 PM,2,3,77.7,F4,0.0
141,28.547755,100,8/16/2019 5:51:00 PM,4,3,77.7,F5,100.0
142,28.078795,100,8/16/2019 5:51:00 PM,7,3,77.7,F6,100.0
143,35.84742,100,8/16/2019 5:51:00 PM,100,3,77.7,F7,100.0
144,85.962995,50,8/17/2019 6:43:00 PM,0,1,102.566666666667,A2,0.0
145,50.964490000000005,50,8/17/2019 6:43:00 PM,1,1,102.566666666667,A3,0.0
146,41.334065,50,8/17/2019 6:43:00 PM,2,1,102.566666666667,A4,0.0
147,37.17267,50,8/17/2019 6:43:00 PM,4,1,102.566666666667,A5,0.0
148,49.23909,50,8/17/2019 6:43:00 PM,7,1,102.566666666667,A6,50.0
149,45.260934999999996,50,8/17/2019 6:43:00 PM,100,1,102.566666666667,A7,50.0
150,94.416455,50,8/17/2019 6:43:00 PM,0,2,102.566666666667,B2,0.0
151,66.61674000000001,50,8/17/2019 6:43:00 PM,1,2,102.566666666667,B3,0.0
152,62.4115,50,8/17/2019 6:43:00 PM,2,2,102.566666666667,B4,0.0
153,42.55563,50,8/17/2019 6:43:00 PM,4,2,102.566666666667,B5,0.0
154,65.037385,50,8/17/2019 6:43:00 PM,7,2,102.566666666667,B6,50.0
155,52.67279500000001,50,8/17/2019 6:43:00 PM,100,2,102.566666666667,B7,50.0
156,96.314695,50,8/17/2019 6:43:00 PM,0,3,102.566666666667,C2,0.0
157,62.91664,50,8/17/2019 6:43:00 PM,1,3,102.566666666667,C3,0.0
158,65.208985,50,8/17/2019 6:43:00 PM,2,3,102.566666666667,C4,0.0
159,52.54125500000001,50,8/17/2019 6:43:00 PM,4,3,102.566666666667,C5,0.0
160,64.60138500000001,50,8/17/2019 6:43:00 PM,7,3,102.566666666667,C6,50.0
161,51.555955,50,8/17/2019 6:43:00 PM,100,3,102.566666666667,C7,50.0
162,93.305915,100,8/17/2019 6:43:00 PM,0,1,102.566666666667,D2,0.0
163,51.08316,100,8/17/2019 6:43:00 PM,1,1,102.566666666667,D3,0.0
164,57.168425,100,8/17/2019 6:43:00 PM,2,1,102.566666666667,D4,0.0
165,43.753295,100,8/17/2019 6:43:00 PM,4,1,102.566666666667,D5,0.0
166,53.651415,100,8/17/2019 6:43:00 PM,7,1,102.566666666667,D6,100.0
167,43.321325,100,8/17/2019 6:43:00 PM,100,1,102.566666666667,D7,100.0
168,92.99068500000001,100,8/17/2019 6:43:00 PM,0,2,102.566666666667,E2,0.0
169,52.696945,100,8/17/2019 6:43:00 PM,1,2,102.566666666667,E3,0.0
170,55.649924999999996,100,8/17/2019 6:43:00 PM,2,2,102.566666666667,E4,0.0
171,35.543195000000004,100,8/17/2019 6:43:00 PM,4,2,102.566666666667,E5,0.0
172,55.713125,100,8/17/2019 6:43:00 PM,7,2,102.566666666667,E6,100.0
