,Confluence,Date,DrugDose,InitialCellNumber,ReplicateId,SeedingDensity,Time,WellId,CollectionFrequency,TimeInDays,CellLine
156,58.525015,5/15/2019 2:16:00 PM,0,5000,3,lowDensity,94.85,C2,1,4,A2780s
157,79.23274,5/15/2019 2:16:00 PM,1,5000,3,lowDensity,94.85,C3,1,4,A2780s
158,52.334365000000005,5/15/2019 2:16:00 PM,10,5000,3,lowDensity,94.85,C4,1,4,A2780s
159,39.624855,5/15/2019 2:16:00 PM,25,5000,3,lowDensity,94.85,C5,1,4,A2780s
160,18.214245,5/15/2019 2:16:00 PM,50,5000,3,lowDensity,94.85,C6,1,4,A2780s
161,6.411258500000001,5/15/2019 2:16:00 PM,100,5000,3,lowDensity,94.85,C7,1,4,A2780s
162,99.919385,5/15/2019 2:16:00 PM,0,75000,1,highDensity,94.85,D2,1,4,A2780s
163,99.974095,5/15/2019 2:16:00 PM,1,75000,1,highDensity,94.85,D3,1,4,A2780s
164,99.80524,5/15/2019 2:16:00 PM,10,75000,1,highDensity,94.85,D4,1,4,A2780s
165,98.826745,5/15/2019 2:16:00 PM,25,75000,1,highDensity,94.85,D5,1,4,A2780s
166,91.216805,5/15/2019 2:16:00 PM,50,75000,1,highDensity,94.85,D6,1,4,A2780s
167,50.118945,5/15/2019 2:16:00 PM,100,75000,1,highDensity,94.85,D7,1,4,A2780s
168,99.995785,5/15/2019 2:16:00 PM,0,75000,2,highDensity,94.85,E2,1,4,A2780s
169,99.994365,5/15/2019 2:16:00 PM,1,75000,2,highDensity,94.85,E3,1,4,A2780s
170,99.90146,5/15/2019 2:16:00 PM,10,75000,2,highDensity,94.85,E4,1,4,A2780s
171,95.12571500000001,5/15/2019 2:16:00 PM,25,75000,2,highDensity,94.85,E5,1,4,A2780s
172,83.79646,5/15/2019 2:16:00 PM,50,75000,2,highDensity,94.85,E6,1,4,A2780s
173,60.96883,5/15/2019 2:16:00 PM,100,75000,2,highDensity,94.85,E7,1,4,A2780s
174,99.31372999999999,5/15/2019 2:16:00 PM,0,75000,3,highDensity,94.85,F2,1,4,A2780s
175,98.433145,5/15/2019 2:16:00 PM,1,75000,3,highDensity,94.85,F3,1,4,A2780s
176,87.61407,5/15/2019 2:16:00 PM,10,75000,3,highDensity,94.85,F4,1,4,A2780s
177,85.732845,5/15/2019 2:16:00 PM,25,75000,3,highDensity,94.85,F5,1,4,A2780s
178,71.04587,5/15/2019 2:16:00 PM,50,75000,3,highDensity,94.85,F6,1,4,A2780s
179,60.11488,5/15/2019 2:16:00 PM,100,75000,3,highDensity,94.85,F7,1,4,A2780s
180,61.11403,5/16/2019 3:31:00 PM,0,5000,1,lowDensity,120.1,A2,1,5,A2780s
