,Date,DrugConcentration,Flank,MouseId,Time,TreatmentBranch,Volume
417,2020/03/13,100.0,Right,34,93,AT1,840.3
418,2020/03/14,100.0,Right,34,94,AT1,
419,2020/03/15,100.0,Right,34,95,AT1,
420,2020/03/16,100.0,Right,34,96,AT1,944.0
421,2020/03/17,100.0,Right,34,97,AT1,
422,2020/03/18,100.0,Right,34,98,AT1,1079.8
423,2020/03/19,100.0,Right,34,99,AT1,
424,2020/03/20,100.0,Right,34,100,AT1,1057.7
425,2020/03/21,100.0,Right,34,101,AT1,
426,2020/03/22,100.0,Right,34,102,AT1,
427,2020/03/23,100.0,Right,34,103,AT1,1044.8
428,2020/03/24,100.0,Right,34,104,AT1,
429,2020/03/25,100.0,Right,34,105,AT1,1175.0
430,2020/03/26,100.0,Right,34,106,AT1,
431,2020/03/27,X,Right,34,107,AT1,1191.2
432,2019/12/11,0.0,Right,35,0,Ctrl,0.0
433,2019/12/12,0.0,Right,35,1,Ctrl,
434,2019/12/13,0.0,Right,35,2,Ctrl,6.2
435,2019/12/14,0.0,Right,35,3,Ctrl,
436,2019/12/15,0.0,Right,35,4,Ctrl,
437,2019/12/16,0.0,Right,35,5,Ctrl,19.3
438,2019/12/17,0.0,Right,35,6,Ctrl,
439,2019/12/18,0.0,Right,35,7,Ctrl,12.1
440,2019/12/19,0.0,Right,35,8,Ctrl,
441,2019/12/20,0.0,Right,35,9,Ctrl,17.8
442,2019/12/21,0.0,Right,35,10,Ctrl,
443,2019/12/22,0.0,Right,35,11,Ctrl,
444,2019/12/23,0.0,Right,35,12,Ctrl,28.0
445,2019/12/24,0.0,Right,35,13,Ctrl,
446,2019/12/25,0.0,Right,35,14,Ctrl,
447,2019/12/26,0.0,Right,35,15,Ctrl,
448,2019/12/27,0.0,Right,35,16,Ctrl,32.0
449,2019/12/28,0.0,Right,35,17,Ctrl,
450,2019/12/29,0.0,Right,35,18,Ctrl,
451,2019/12/30,0.0,Right,35,19,Ctrl,31.0
452,2019/12/31,0.0,Right,35,20,Ctrl,50.2
453,2020/01/01,0.0,Right,35,21,Ctrl,
454,2020/01/02,0.0,Right,35,22,Ctrl,46.7
455,2020/01/03,0.0,Right,35,23,Ctrl,52.3
456,2020/01/04,0.0,Right,35,24,Ctrl,
457,2020/01/05,0.0,Right,35,25,Ctrl,
458,2020/01/06,0.0,Right,35,26,Ctrl,49.8
459,2020/01/07,0.0,Right,35,27,Ctrl,
460,2020/01/08,0.0,Right,35,28,Ctrl,210.4
461,2020/01/09,0.0,Right,35,29,Ctrl,
462,2020/01/10,0.0,Right,35,30,Ctrl,87.2
463,2020/01/11,0.0,Right,35,31,Ctrl,
464,2020/01/12,0.0,Right,35,32,Ctrl,
465,2020/01/13,0.0,Right,35,33,Ctrl,93.6
466,2020/01/14,0.0,Right,35,34,Ctrl,
467,2020/01/15,0.0,Right,35,35,Ctrl,115.0
468,2020/01/16,0.0,Right,35,36,Ctrl,
469,2020/01/17,0.0,Right,35,37,Ctrl,293.9
470,2020/01/18,0.0,Right,35,38,Ctrl,
471,2020/01/19,0.0,Right,35,39,Ctrl,
472,2020/01/20,0.0,Right,35,40,Ctrl,290.6
473,2020/01/21,0.0,Right,35,41,Ctrl,
474,2020/01/22,0.0,Right,35,42,Ctrl,461.3
475,2020/01/23,0.0,Right,35,43,Ctrl,
476,2020/01/24,0.0,Right,35,44,Ctrl,412.6
477,2020/01/25,0.0,Right,35,45,Ctrl,
478,2020/01/26,0.0,Right,35,46,Ctrl,
479,2020/01/27,0.0,Right,35,47,Ctrl,474.4
480,2020/01/28,0.0,Right,35,48,Ctrl,
481,2020/01/29,0.0,Right,35,49,Ctrl,528.5
482,2020/01/30,0.0,Right,35,50,Ctrl,
483,2020/01/31,0.0,Right,35,51,Ctrl,505.9
484,2020/02/01,0.0,Right,35,52,Ctrl,
485,2020/02/02,0.0,Right,35,53,Ctrl,
486,2020/02/03,0.0,Right,35,54,Ctrl,1032.7
487,2020/02/04,0.0,Right,35,55,Ctrl,
488,2020/02/05,0.0,Right,35,56,Ctrl,605.5
489,2020/02/06,0.0,Right,35,57,Ctrl,
490,2020/02/07,0.0,Right,35,58,Ctrl,667.8
491,2020/02/08,0.0,Right,35,59,Ctrl,
492,2020/02/09,0.0,Right,35,60,Ctrl,
493,2020/02/10,0.0,Right,35,61,Ctrl,781.1
494,2020/02/11,0.0,Right,35,62,Ctrl,
495,2020/02/12,0.0,Right,35,63,Ctrl,741.4
496,2020/02/13,0.0,Right,35,64,Ctrl,
497,2020/02/14,0.0,Right,35,65,Ctrl,961.5
498,2020/02/15,0.0,Right,35,66,Ctrl,
499,2020/02/16,0.0,Right,35,67,Ctrl,
500,2020/02/17,0.0,Right,35,68,Ctrl,976.6
501,2020/02/18,0.0,Right,35,69,Ctrl,
502,2020/02/19,0.0,Right,35,70,Ctrl,1059.5
