,r,K,v,d_A,alpha,phi,n,EC50,SSR
84,0.686372507068817,98.61216499002056,1.1767420277344087,0.0561527206608648,0.8950742457729424,1.2301539561454269,1.1316187150861834,7.353527674668103,393.1711711387866
85,0.714435281643905,98.52827938181385,1.0700282511924633,0.0353365007272916,1.0,1.290908810526061,1.2971442594229337,8.445180318702729,344.07344908302366
86,0.717240532206452,100.0,1.040497808329491,0.0985609582533081,0.7803992973145117,1.3686656143303744,1.111259319354898,6.7216433507303535,407.5142855262343
87,0.7533561018160488,100.0,0.9196955656920855,0.1342373722636611,0.6727272495887046,1.0233701336003176,1.0593771311011488,5.58142079939774,537.5595837418186
88,0.6615685083605495,99.8814180862388,1.2624898691471729,0.0445111977205763,1.0,1.4246858782235516,0.9755778460009159,8.365575750468784,285.54601409420627
89,0.7179428511635629,99.41782389111002,1.0455012128269012,0.0657038607702791,0.7934597928888868,0.9904893094704118,1.0109458007404994,7.130986129209278,474.7002393730293
90,0.6798513767293888,99.64587244793368,1.1675222550688722,0.1570745550415309,0.6660664862624688,1.5302005801718706,7.92981574697205,8.963641330129398,314.2110281616188
91,0.7814850555326036,99.99999999999991,0.8772871696452922,0.0498402155594254,0.999999999999874,1.48568975249872,1.3949977590544984,9.468769889576903,359.2487526432457
92,0.7534654096199623,100.0,0.9629371584919784,0.1005533438341135,0.7275579102502625,1.1654630020930985,1.520100315670995,6.429047962114481,400.62684084830914
93,0.7772883275045293,99.11676741248888,0.8995623783777067,0.0771013863071677,0.8454240514719853,1.4760722337374412,1.4106722607419386,7.105006775325955,308.95214626563325
94,0.6668229980869751,98.08023262029327,1.2687672144653268,0.1267293879669671,0.6497965502583573,0.7343498082620658,1.0573882655053306,5.523704880401557,321.98507128146025
95,0.6365374909527549,98.20365656153776,1.4507317664339558,0.1352308799359544,0.6636695841908421,1.0771571272278762,1.0723691205276933,4.6527577951084895,432.4981659209853
96,0.8383141802977748,100.0,0.787291491935166,0.0781984801037044,0.7212159508563268,0.8672969865870309,1.5498076652489408,6.7151239483336065,350.65721094583523
97,0.6778558390952604,100.0,1.1951456333487973,0.0900298000160325,0.837501716319779,1.652893615202347,1.2801581079612567,7.123897573279938,573.2162643303692
98,0.7346094355459466,98.87348686705369,0.9912437478748056,0.112160582756509,0.6428398626468138,0.4992432091777466,0.9242295983844105,4.963766314807531,490.1408361152688
99,0.6484374563014564,100.0,1.2874963128094754,0.081922403669496,0.9248745963551226,1.7745339068312975,1.0631244018245047,7.14699846265576,538.1237026008853
100,0.6756383851044384,100.0,1.187004626313741,0.0697393006131558,0.9999999999999942,1.6373528789870138,1.0825100373281897,8.888063141094191,301.3449824601675
101,0.6837717870158507,97.04282299911648,1.220930024289759,0.1448018326024531,0.7225268713973206,1.790867993659042,1.3710897340761743,5.115157510993033,393.48613045070783
102,0.7273607787065576,99.53504303075246,1.006787145381745,0.045023611054826,1.0,1.607394829421766,6.005994053997153,9.871599863405818,343.57380176394406
103,0.6708995666303615,97.21176886484368,1.2892367626151362,0.1169311165746054,0.6360535057125895,0.6817124848413155,1.3508597164817857,5.964269735829464,518.7856109899537
104,0.6758424744902817,100.0,1.16140081888771,0.0470164557777915,0.9999999999999958,1.496549553901614,8.605894453373983,9.699335115129706,303.215360618682
105,0.6753003897574524,99.99999999999996,1.158887366767158,0.1348097546014241,0.6895533435492444,1.3034730136368429,1.121500146743458,5.3784622981856645,290.6384038269232
106,0.7186080316669349,100.0,1.0443027918077432,0.0579610861555123,0.8588747933254695,1.1835133439018204,1.2107155104321892,7.49059466518875,228.12017079047413
107,0.6937653897142988,100.0,1.1411401886454409,0.0495841974782616,0.9999999999999996,1.5219282695669991,1.0512093102179767,7.9017762242774925,408.64366166615235
108,0.6579583115715335,97.03411486908158,1.359727541993614,0.0746241526849189,1.0,1.7686121900065213,0.9076063553648134,7.9400487683924945,482.26525141666923
109,0.7089011917624346,100.0,1.074863199572842,0.0559667817960792,1.0,1.7209851534064706,7.167609271234597,9.60581572641414,414.621633877857
110,0.7394820184910466,99.61113640332482,1.0091082695752482,0.1257429171647944,0.6472721581279736,0.8963203725462976,1.797403681243845,6.775415517870211,229.6607402593351
111,0.7076229497014085,99.83301417241287,1.0702749943088958,0.0613567919015483,0.8529525980082,1.2744671376267862,1.060220811323726,6.978419365489164,272.26202133256027
112,0.7347217070620299,97.51365703900927,1.05456565582678,0.0696257633384194,0.9999999999981554,1.8614786009467812,1.277202861009883,8.343313951123509,285.83126489446244
113,0.676205527938752,98.07293895724123,1.2105129791685432,0.1630102635865796,0.6797678786509096,1.3672485437794133,1.33940954628644,6.2940482933021755,347.7304520149216
114,0.7343935534052608,100.0,1.012441751386056,0.0690097540605214,0.8335771002084214,1.2393328935800323,1.0443931173023215,6.424411598070724,264.55708714960815
115,0.7090158453473013,99.59257060583222,1.1004901827244882,0.1520722859505711,0.660213835553986,1.139284120525918,1.216285281264107,5.63362016265235,465.1209782961298
116,0.7612098583584385,100.0,0.9263471480745346,0.1253807001590726,0.6652199521237402,1.000312539062759,1.4765215951569666,6.510873407894099,380.1778419303543
117,0.7152411481713528,98.68551504493168,1.0673249853823583,0.0815472545687735,0.7215348777775302,0.9786372023786736,1.396253467824878,6.540687511728955,323.29837434171503
118,0.773737702535623,100.0,0.9106080598026058,0.0578264566691661,0.8965025087260878,1.2624866432156292,0.8974446511588371,7.095896056357718,249.66528284483718
