,r,K,v,alpha0,alpha1,d_A,beta,SSR
77,0.4759534150555581,100.0,2.3731632430765144,0.7044884586885534,0.6449965694707482,0.7702075574513845,2.0668158680211583e-13,111.74303253391751
78,0.4586026419292829,100.0,2.914552000110869,0.764097565633805,0.7306986864275568,0.43991956463052323,0.033894604808607405,131.84327714428844
79,0.4693131888945557,95.59341851718436,2.9997416902778657,0.79554848884146,0.7954553918781885,0.12061741729559976,2.0207673520523987e-10,185.44698904589887
80,0.4582227955041172,100.0,3.089980015884332,0.5934801676720675,0.8296872472002634,0.7247579929854439,2.3129762913218233e-09,281.4746571121344
81,0.4686413706373002,96.3394497066838,2.865645459702291,0.6830234675269145,0.6879586524238239,1.1727557131486792,0.015457920912335174,308.23656065197673
82,0.462166220520249,99.19083440565748,2.729282175869857,0.5892155006486826,0.8998819425789555,0.46453077170478513,1.8262787308939256e-10,128.76885107599048
83,0.4755347975428877,95.39843883646178,2.5969853765718613,0.8616179536463551,0.5824731338885641,0.5080474133620501,5.43942624610489e-10,138.28021978094688
84,0.4811422473572369,100.0,2.288568818210402,0.6684631447225369,0.6684580797561809,0.903761995750634,1.843879535932201e-10,86.41184948465552
85,0.4657568366888824,98.94373155622424,2.6982831488764867,0.8623693692828398,0.6175985548868732,0.3947650648542126,4.840532104551657e-09,150.3269039081207
86,0.4698540050572263,96.42700609081731,2.697957851459567,0.5897748116707894,0.8834025225896406,0.5079503458072744,2.721470715391868e-10,126.64749588559485
87,0.4790257838113477,100.0,2.191369135684716,0.7581035478347925,0.6574157064440319,0.34271979343349623,8.783860620633775e-10,136.07786410956538
88,0.4568037019182653,97.85695241358984,3.462409616245866,0.8805838295923721,0.6085975026129113,0.3371084178657429,1.945050350419776e-09,149.19793711331525
89,0.4684042092090911,99.99999999999996,2.418108443141477,0.8727816596535536,0.6041367722819576,0.433265028708969,4.260670404964414e-09,67.68413534305058
90,0.4821208270811483,95.92151657305504,2.3837523023995986,0.9619390042920896,0.5623176418170025,0.5900191397219178,1.3919808235079767e-08,76.15523940962021
91,0.4678266609704774,96.06180420087291,2.709023498141632,0.6586933299458334,0.6586865985418376,1.1714174572817588,6.864983765193365e-12,99.97353462401607
92,0.4660849181593178,95.49321285257386,2.654069301018951,0.6773534649375246,0.6774693763650079,0.7301194357136033,7.494369836826722e-11,236.09981858609976
93,0.4710649567253408,100.0,2.6594364421018257,0.6597469763809822,0.6604182312737116,1.381053600173189,0.002874743785550493,95.14636399713541
94,0.463049544875491,92.57994602792542,3.820960454037528,0.6680139839511836,0.6449363355757793,1.2266503750811253,1.9231342520657056e-13,198.70562077310137
95,0.4602086528585457,96.89887208690644,3.135618224306483,0.6715267468063507,0.6715128977760436,0.692263000023364,5.343620157290654e-10,103.30009219684857
96,0.4637867925612378,99.99999999999989,2.7089097028898945,0.8234900365981953,0.8234746507761872,0.10035268219311341,5.976495994405723e-11,183.35828208444985
97,0.4627126764356682,99.31492867656604,2.976573016961552,0.7281273539257966,0.6408034750768108,0.6185983624018614,3.4857110491398813e-11,86.49079350689165
98,0.4699724538443695,99.9999999992556,2.487164770399973,0.9098932362571528,0.6100710999936991,0.35438835512839245,1.1831409470539473e-10,103.65520755367415
99,0.4740493365869612,99.27675535121244,2.401871298090262,0.6693901042397099,0.6704446252018008,1.497696549613465,0.006879370079141733,122.9907297580661
100,0.4723745034369733,97.75405090188836,2.531892943166014,0.7529104974100159,0.5873737659992488,1.922285177632613,2.0465344197678135e-17,64.10303087832266
101,0.4718494240648692,100.0,2.443534930547967,0.6163775111644249,0.7584948884364288,0.6835021486926665,1.061391999477147e-10,188.9100690010799
102,0.4808396555658884,99.99999999999076,2.3242398106769397,0.8472474989049842,0.6052556972217935,0.46857927569629765,3.0918778131620295e-11,139.1088914153226
103,0.4679863310108477,96.60818318612586,2.6298123700211207,0.6329868715147309,0.7775253219263693,0.45422501324039594,2.094281318229733e-09,207.5111538579828
104,0.4777434259124911,98.2552627843516,2.401572991481064,0.6585924005688809,0.6592977088785528,1.4684477119052426,0.0027660151614081253,131.66973746304978
105,0.4704052548250814,99.68864699852249,2.527886547586978,0.5881813587534807,0.8700733216211232,0.550200893123473,2.817706291614724e-10,176.3029728013314
106,0.4740226033274511,96.35746395601718,2.654681206370256,0.711835356525966,0.8015134863631695,0.3818858673282238,0.031850712095411474,178.25468307589426
107,0.4718532688402831,100.0,2.3991955922533394,0.8448123282403954,0.5949850840932466,0.5252160471905588,3.880485264632255e-09,114.8254896317935
108,0.4673810672331192,98.67340422387832,2.6139317552927563,0.83697430231896,0.5963008569836193,0.5778037378808248,3.18037654036519e-09,139.26218696359012
109,0.4654174405098935,97.51846884482852,3.1531217499732977,0.7053236391729545,0.999997136949624,0.12770564764519515,0.014237687086906686,145.66322975179193
110,0.4593943344304296,100.0,2.8269525649979634,0.6027942895919854,0.8044961052131704,0.5091139822549072,7.143795477376627e-10,88.25164272788764
